Logged-in Users,Hostname,Logged-in Users
rajeshr,ISTLP154,SOFTURADOMAIN\rajeshr
jayashria,ISTLP198,SOFTURADOMAIN\jayashria
VenkataprasadK,ISTLP062,SOFTURADOMAIN\VenkataprasadK
Annapoornij,ISTLP286,SOFTURADOMAIN\Annapoornij
ChitraD,ISTLP238,SOFTURADOMAIN\ChitraD
DhineshR,ISTLP173,SOFTURADOMAIN\DhineshR
SureshR,ISTLP237,SOFTURADOMAIN\SureshR
SureshKumarM,ISTLP194,SOFTURADOMAIN\SureshKumarM
BoopathiV,ISTLP245,SOFTURADOMAIN\BoopathiV
DineshB,ISTLP202,SOFTURADOMAIN\DineshB
PrabhakaranR,ISTLP243,SOFTURADOMAIN\PrabhakaranR
SampathS,ISTLP149,SOFTURADOMAIN\SampathS
Usmans,ISTLP215,SOFTURADOMAIN\Usmans
Ahilat,ISTLP157,SOFTURADOMAIN\Ahilat
mubins,ISTLP176,SOFTURADOMAIN\mubins
AmeerdeenK,ISTLP158,SOFTURADOMAIN\AmeerdeenK
YaminiP,ISTLP187,SOFTURADOMAIN\YaminiP
SusmithaBanuS,ISTLP199,SOFTURADOMAIN\SusmithaBanuS
MariaJ,ISTLP110,SOFTURADOMAIN\MariaJ
AndrewDC,ISTLP129,SOFTURADOMAIN\AndrewDC
VigneshKK,ISTLP133,SOFTURADOMAIN\VigneshKK
keerthanaN,ISTLP297,SOFTURADOMAIN\keerthanaN
mohanapriyas,ISTLP249,SOFTURADOMAIN\mohanapriyas
ManolinVS,ISTLP296,SOFTURADOMAIN\ManolinVS
SivakumarC,ISTLP288,SOFTURADOMAIN\SivakumarC
sabarik,ISTLP163,SOFTURADOMAIN\sabarik
NamatchivayamR,ISTLP164,SOFTURADOMAIN\NamatchivayamR
ajithp,ISTLP251,SOFTURADOMAIN\ajithp
HabiburR,ISTLP178,SOFTURADOMAIN\HabiburR
KarthikaR,ISTLP205,SOFTURADOMAIN\KarthikaR
sivaranjinim,ISTLP232,SOFTURADOMAIN\sivaranjinim
BalajiSU,ISTLP180,SOFTURADOMAIN\BalajiSU
DhakshinamoorthyA,ISTLP231,SOFTURADOMAIN\DhakshinamoorthyA
mohanrajr,ISTLP128,SOFTURADOMAIN\mohanrajr
gowthamid,ISTLP095,SOFTURADOMAIN\gowthamid
SarithaK,ISTLP151,SOFTURADOMAIN\SarithaK
KarthickR,ISTLP247,SOFTURADOMAIN\KarthickR
Vairavanc,ISTLP227,SOFTURADOMAIN\Vairavanc
VigneshA,ISTLP103,SOFTURADOMAIN\VigneshA
ArchanaS,ISTLP244,SOFTURADOMAIN\ArchanaS
NittheshR,ISTLP155,SOFTURADOMAIN\NittheshR
VenkateshaPS,ISTLP048,SOFTURADOMAIN\VenkateshaPS
RukeshkumarK,ISTLP171,ISTLP171\Administrator
MonicaC,ISTLP147,SOFTURADOMAIN\MonicaC
devangbhaip; hardiks,ISTLP167,SOFTURADOMAIN\devangbhaip; SOFTURADOMAIN\hardiks
nandhum,ISTLP291,SOFTURADOMAIN\nandhum
BharathK,ISTLP278,SOFTURADOMAIN\BharathK
Stock,ISTLP063,ISTLP063\Administrator
RajasnehaR,ISTLP293,SOFTURADOMAIN\RajasnehaR
DhirajV,ISTLP273,SOFTURADOMAIN\DhirajV
ManokaranP,ISTLP185,SOFTURADOMAIN\ManokaranP
ShivaniM,ISTLP139,SOFTURADOMAIN\ShivaniM
RubyB,ISTLP274,SOFTURADOMAIN\RubyB
NandhiniT,ISTLP153,SOFTURADOMAIN\NandhiniT
DeepikaJ,ISTLP298,ISTLP298\Administrator
NithyaM,ISTLP170,SOFTURADOMAIN\NithyaM
VigneeshM,ISTLP197,SOFTURADOMAIN\VigneeshM
ArivazhaganP,ISTLP161,SOFTURADOMAIN\ArivazhaganP
monikav,ISTLP236,SOFTURADOMAIN\monikav
AlexM,ISTLP145,SOFTURADOMAIN\AlexM
HemalathaV,ISTLP203,SOFTURADOMAIN\HemalathaV
Balkrishna,ISTLP100,SOFTURADOMAIN\Balkrishna
NithyaS,ISTLP148,SOFTURADOMAIN\NithyaS
MuthukumaranT,ISTLP099,SOFTURADOMAIN\MuthukumaranT
SenthilKR,ISTLP152,SOFTURADOMAIN\SenthilKR
GanesanR,ISTLP290,SOFTURADOMAIN\GanesanR
